roll,mean,std,marginal,s1_prob,s2_prob,s3_ot_remaining,n_s3_ot_total,p1,p5,p10,p25,p50,p75,p90,p95,p99
122,901.1409,180.7092,11.5628,1.000000,1.000000,704.92,737,637.00,683.00,711.00,766.00,851.00,1019.00,1140.00,1248.00,1436.00
123,912.8037,182.0638,11.6627,1.000000,1.000000,704.66,737,646.00,693.00,721.00,776.00,862.00,1032.00,1153.00,1263.00,1450.00
124,924.3837,183.4283,11.5801,1.000000,1.000000,704.39,737,655.00,703.00,731.00,786.00,874.00,1044.00,1166.00,1278.00,1464.00
125,936.0635,184.8995,11.6797,1.000000,1.000000,704.13,737,664.00,712.00,740.00,796.00,886.00,1056.00,1179.00,1293.00,1480.00
126,947.7001,186.2555,11.6366,1.000000,1.000000,703.87,737,673.00,721.00,750.00,806.00,898.00,1068.00,1193.00,1307.00,1495.00
127,959.2950,187.5331,11.5949,1.000000,1.000000,703.60,737,682.00,730.00,759.00,816.00,910.00,1081.00,1206.00,1321.00,1509.00
128,970.8273,188.8197,11.5323,1.000000,1.000000,703.34,737,691.00,740.00,769.00,826.00,922.00,1092.00,1219.00,1335.00,1525.00
129,982.4675,190.1723,11.6402,1.000000,1.000000,703.08,737,700.00,749.00,779.00,837.00,934.00,1105.00,1233.00,1350.00,1541.00
130,994.0117,191.5280,11.5442,1.000000,1.000000,702.81,737,709.00,759.00,788.00,847.00,946.00,1116.00,1246.00,1364.00,1556.00
131,1005.7173,192.9091,11.7056,1.000000,1.000000,702.55,737,719.00,768.00,798.00,857.00,958.00,1129.00,1260.00,1378.00,1571.00
132,1017.3247,194.2635,11.6074,1.000000,1.000000,702.29,737,728.00,777.00,808.00,867.00,970.00,1141.00,1274.00,1391.00,1586.00
133,1028.8620,195.5527,11.5372,1.000000,1.000000,702.02,737,737.00,786.00,817.00,877.00,982.00,1153.00,1288.00,1405.00,1602.00
134,1040.4015,196.6469,11.5395,1.000000,1.000000,701.76,737,745.99,796.00,827.00,888.00,995.00,1164.00,1301.00,1418.00,1618.00
135,1052.0732,197.9245,11.6717,1.000000,1.000000,701.50,737,755.00,806.00,837.00,898.00,1008.00,1176.00,1315.00,1431.00,1632.00
136,1063.7439,199.2025,11.6707,1.000000,1.000000,701.23,737,764.00,815.00,846.00,908.00,1020.00,1188.00,1330.00,1445.00,1648.00
137,1075.3538,200.4208,11.6099,1.000000,1.000000,700.97,737,773.00,825.00,856.00,919.00,1033.00,1200.00,1344.00,1458.00,1663.00
